"accountID","transactionAmountUSD","transactionAmount","transactionCurrencyCode","transactionDate","transactionTime","localHour","transactionIPaddress","ipState","ipPostcode","ipCountryCode","isProxyIP","browserLanguage","paymentInstrumentType","cardType","paymentBillingPostalCode","paymentBillingState","paymentBillingCountryCode","cvvVerifyResult","digitalItemCount","physicalItemCount","label"
"A844428051459278",443.4262,329,"EUR",20130715,193806,20,91.47,"baden-wuerttemberg","89073","de","false","de-DE","CREDITCARD","MC","73079","NA","DE","M",0,1,"false"
"A914801013405248",119.124,10800,"JPY",20130502,44706,13,110.162,"tokyo","190-0000","jp","true","ja-JP","CREDITCARD","VISA","594-0002","???","JP","M",0,1,"false"
"A364078791011754",547.49,547.49,"USD",20130610,192756,11,131.107,"washington","98052","us","true","en-US","CREDITCARD","VISA","98040","WA","US","M",0,1,"false"
"A844427884024964",118.1,118.1,"USD",20130922,31857,22,67.8,"new york","10590","us","false","en-US","CREDITCARD","VISA","10598","NY","US","X",1,0,"false"
"A844427284434757",173.223251,109.99,"GBP",20130530,163747,16,88.96,"greater london","nw10","gb","false","en-GB","CREDITCARD","VISA","OX13 6QJ","NA","GB","M",2,0,"false"
"A564049528553615",9.99,9.99,"USD",20130830,231046,17,173.2,"iowa","52401","us","false","en-US","CREDITCARD","VISA","NA","NA","NA","M",1,0,"false"
"A564049484369112",141.39,141.39,"USD",20130628,3344,19,24.185,"connecticut","6905","us","false","en-US","PAYPAL","U","NA","NA","US","N",1,0,"false"
"A1055521409554290",5.34,5.34,"USD",20130528,25544,21,96.242,"new jersey","7103","us","false","en-US","CREDITCARD","MC","7083","NJ","US","M",1,0,"false"
"A844428087584685",173.223251,109.99,"GBP",20130628,65843,6,86.136,"milton keynes","mk6","gb","false","en-GB","CREDITCARD","MC","EH26 9BT","NA","GB","M",1,0,"false"
"A1055521411804480",105.99,105.99,"USD",20130929,192652,14,75.114,"michigan","48206","us","false","en-US","CREDITCARD","VISA","48239","MI","US","M",0,1,"false"
"A985156448234600",173.223251,109.99,"GBP",20130902,92012,9,90.206,"greater london","nw11","gb","false","en-GB","CREDITCARD","VISA","SS12 9LJ","NA","GB","M",1,0,"false"
"A1759220824392870",79.99,79.99,"USD",20130906,182753,10,204.62,"california","91106","us","false","en-US","CREDITCARD","VISA","91732","CA","US","M",1,0,"false"
"A1688853664823930",116.44672,3499,"RUB",20130423,150249,18,46.32,"sankt-peterburg","195269","ru","false","ru-RU","CREDITCARD","VISA","198412","NA","RU","M",1,0,"false"
"A985156927555721",629.81,629.81,"USD",20130530,160032,9,63.248,"utah","84094","us","false","en-US","CREDITCARD","AMEX","84042","UT","US","M",1,0,"false"
"A362840682084684",105.11,105.11,"USD",20130415,210930,14,65.1,"new mexico","87106","us","false","en-US","CREDITCARD","VISA","88310","NM","US","M",1,0,"false"
"A985156931991617",150.84,150.84,"USD",20130413,143836,8,98.199,"texas","77007","us","false","en-US","CREDITCARD","VISA","77534","TX","US","M",1,0,"false"
"A1055521134587040",4.99,4.99,"USD",20130527,45505,22,99.108,"oklahoma","73102","us","false","en-US","CREDITCARD","VISA","73170","OK","US","M",1,0,"false"
"A1829582633143610",35.015844,25.98,"EUR",20130827,110323,12,90.17,"calvados","14000","fr","false","fr-FR","CREDITCARD","AMEX","92330","NA","FR","M",2,2,"false"
"A1055521425302640",567.08,567.08,"USD",20130627,203655,15,100.1,"new jersey","7103","us","false","en-US","CREDITCARD","AMEX","7070","NJ","US","M",0,2,"false"
"A914800739253345",173.223251,109.99,"GBP",20130507,230430,23,92.235,"edinburgh","eh1","gb","false","en-GB","CREDITCARD","VISA","N1 8PT","NA","GB","M",1,0,"false"
"A2111055913410580",413.63,413.63,"USD",20130709,170224,10,67.5,"colorado","80915","us","false","en-US","CREDITCARD","VISA","80301","CO","US","M",1,0,"false"
"A985156985041639",199.75424,1099,"NOK",20130408,134026,14,83.108,"oslo","1006","no","true","nn-NO","CREDITCARD","VISA","6480","NA","NO","M",1,0,"false"
"A300472896384394",152.03,152.03,"USD",20130527,163551,8,24.17,"washington","98161","us","false","en-US","CREDITCARD","MC","98070","WA","US","M",1,0,"false"
"A1688852952579550",37.89,37.89,"USD",20130829,41158,22,173.175,"texas","76701","us","false","en-US","CREDITCARD","VISA","76657","TX","US","M",0,1,"false"
"A1055520968552560",529.99,529.99,"USD",20130814,121340,7,75.74,"florida","33023","us","false","en-US","CREDITCARD","VISA","33023","FL","US","M",0,1,"false"
"A914800383290567",546.24,546.24,"USD",20130904,163912,8,199.3,"california","94402","us","false","en-US","CREDITCARD","VISA","94303","CA","US","M",0,1,"false"
"A306042138263003",5.47,5.47,"USD",20130525,61711,23,71.37,"arizona","85013","us","false","en-US","PAYPAL","U","NA","NA","US","N",1,0,"false"
"A1055521400008960",139.99,139.99,"USD",20130531,2418,19,99.98,"georgia","30084","us","false","en-US","CREDITCARD","VISA","30345","GA","US","M",1,0,"false"
"A985157004667968",148.39,148.39,"USD",20130624,12115,20,71.58,"pennsylvania","16801","us","false","en-US","CREDITCARD","MC","16841","PA","US","M",1,0,"false"
"A296624604823092",537.7722,399,"EUR",20130410,115535,15,109.122,"none","97420","re","false","fr-FR","CREDITCARD","MC","97490","NA","FR","M",1,0,"false"
"A844427629559021",124.67,124.67,"USD",20130725,34452,20,50.134,"colorado","80487","us","false","en-US","CREDITCARD","AMEX","80477","CO","US","M",1,0,"false"
"A1688853329774090",109.99,109.99,"USD",20130625,205400,12,64.185,"washington","99362","us","false","en-US","CREDITCARD","AMEX","97862","OR","US","M",1,0,"false"
"A1055521329656700",139.99,139.99,"USD",20130809,35200,19,99.6,"california","94403","us","false","en-US","CREDITCARD","VISA","94402","CA","US","M",1,0,"false"
"A1759220780826260",127.05024,699,"NOK",20130905,62317,7,193.156,"oslo","1006","no","false","nn-NO","CREDITCARD","VISA","566","NA","NO","M",1,0,"false"
"A1688852404739530",199.75424,1099,"NOK",20130401,142138,15,80.213,"oslo","1006","no","false","nn-NO","CREDITCARD","VISA","1900","NA","NO","M",1,0,"false"
"A844428050248561",21.55,21.55,"USD",20130506,181341,13,67.242,"new york","14614","us","false","en-US","CREDITCARD","MC","14534","NY","US","M",1,0,"false"
"A844427150170077",529.99,529.99,"USD",20130710,231005,18,66.33,"pennsylvania","18411","us","false","en-US","CREDITCARD","MC","18840","PA","US","M",0,1,"false"
"A844428063363674",116.59,116.59,"USD",20130526,151820,10,50.33,"michigan","49440","us","false","en-US","PAYPAL","U","NA","NA","US","N",1,0,"false"
"A1055521275030070",240.89,240.89,"USD",20130416,204918,12,50.2,"washington","98161","us","false","en-US","CREDITCARD","AMEX","98057","WA","US","M",1,0,"false"
"A985156600225248",161.722522,119.99,"EUR",20130420,105320,10,87.196,"lisboa","2795-570","pt","false","pt-PT","CREDITCARD","VISA","4785-370","Porto","PT","M",1,0,"false"
"A1055521396189430",139.99,139.99,"USD",20130508,1818,16,98.148,"california","91411","us","false","en-US","CREDITCARD","MC","91764","CA","US","M",1,0,"false"
"A985156119770899",5.34,5.34,"USD",20130527,52228,0,69.119,"new jersey","8872","us","false","en-US","PAYPAL","U","NA","NA","US","N",1,0,"false"
"A564049476229499",532.49,532.49,"USD",20130819,220913,15,67.176,"colorado","80501","us","false","en-US","PAYPAL","U","NA","NA","US","N",0,1,"false"
"A1899945671195950",1842.585753,1169.97,"GBP",20130403,105347,-99,109.99,"bucuresti","70000","ro","false","en-GB","CREDITCARD","MC","LN5 7NN","NA","GB","M",3,0,"false"
"A985156705045811",299.99,299.99,"USD",20130503,160539,8,64.3,"california","95678","us","false","en-US","CREDITCARD","VISA","95757","CA","US","M",1,0,"false"
"A1688852599142470",146.99,146.99,"USD",20130512,183119,12,50.105,"wisconsin","53590","us","false","en-US","CREDITCARD","MC","54110","WI","US","M",1,0,"false"
"A914801139357948",139.99,139.99,"USD",20130924,142211,9,74.17,"florida","32603","us","false","en-US","CREDITCARD","AMEX","32608","FL","US","M",1,0,"false"
"A985156951493675",42.39,42.39,"USD",20130606,171401,9,12.153,"california","91502","us","false","en-US","CREDITCARD","AMEX","40208","KY","US","M",0,1,"false"
"A1759220877598700",173.223251,109.99,"GBP",20130520,113532,11,82.16,"birmingham","b1","gb","false","en-GB","CREDITCARD","VISA","GU2 7YD","NA","GB","M",1,0,"false"
"A388267340830557",99.99,99.99,"USD",20130912,223950,17,173.66,"district of columbia","20026","us","false","en-US","CREDITCARD","VISA","NA","NA","NA","M",1,0,"false"
"A844427493813237",139.99,139.99,"USD",20130813,150410,10,72.188,"florida","32812","us","false","en-US","CREDITCARD","VISA","32796","FL","US","M",1,0,"false"
"A844428055852594",145.59,145.59,"USD",20130515,135337,7,204.9,"louisiana","70503","us","false","en-US","CREDITCARD","VISA","70563","LA","US","M",1,0,"false"
"A914801029974750",5.29,5.29,"USD",20130524,161537,10,184.43,"kentucky","42104","us","false","en-US","PAYPAL","U","NA","NA","US","N",1,0,"false"
"A844427895521525",375.18,375.18,"USD",20130926,140556,9,64.132,"new york","14606","us","false","en-US","CREDITCARD","AMEX","14564","NY","US","M",0,1,"false"
"A985156531143710",219.99,219.99,"USD",20130602,210338,16,71.205,"michigan","48009","us","false","en-US","CREDITCARD","AMEX","63105","MO","US","M",1,0,"false"
"A1759221026519930",5.43,5.43,"USD",20130526,172052,12,99.239,"ontario","l3v 1a1","ca","false","en-US","PAYPAL","U","NA","NA","CA","N",1,0,"false"
"A844427801628120",139.98,139.98,"USD",20130714,235443,17,24.236,"alabama","35805","us","false","en-US","CREDITCARD","MC","29414","SC","US","M",2,0,"false"
"A1055520951676990",119.67,119.67,"USD",20130917,190040,14,208.13,"massachusetts","2090","us","false","en-US","CREDITCARD","MC","19120","PA","US","M",0,7,"false"
"A985157050941102",86.39,86.39,"USD",20130709,172848,11,201.247,"san salvador","1702","sv","false","en-US","CREDITCARD","MC","13148","NY","US","M",1,0,"false"
"A914800906441393",181.953,135,"EUR",20130529,120704,12,86.47,"westmeath","0","ie","false","en-IE","CREDITCARD","MC","NA","NA","IE","M",1,0,"false"
"A564049524280740",541.24,541.24,"USD",20130811,172334,11,76.182,"texas","75052","us","false","en-US","CREDITCARD","MC","75050","TX","US","M",0,1,"false"
"A914800502566762",119.06,119.06,"USD",20130502,164440,10,71.17,"texas","75219","us","false","en-US","PAYPAL","U","NA","NA","US","N",1,0,"false"
"A985156981064224",148.39,148.39,"USD",20130908,135347,8,68.84,"michigan","48842","us","false","en-US","CREDITCARD","MC","48837","MI","US","M",1,0,"false"
"A389439751961813",160.393679,197.99,"SGD",20130924,72624,15,155.69,"none","0","sg","false","en-SG","CREDITCARD","VISA","470774","NA","SG","M",2,0,"false"
"A844428097934402",106.24,106.24,"USD",20130708,134128,8,98.216,"massachusetts","2148","us","false","en-US","CREDITCARD","VISA","2152","MA","US","M",1,0,"false"
"A1055521386518600",84.39,84.39,"USD",20130825,171333,11,71.89,"wisconsin","54703","us","false","en-US","CREDITCARD","VISA","54703","WI","US","M",1,0,"false"
"A403662902847977",117.54,117.54,"USD",20130912,85017,2,173.23,"minnesota","56082","us","false","en-US","CREDITCARD","VISA","56081","MN","US","M",0,1,"false"
"A1055521411416490",151.54,151.54,"USD",20130531,35447,21,108.195,"texas","77007","us","false","en-US","CREDITCARD","VISA","77566","TX","US","M",1,0,"false"
"A844427846317868",1163.75,1163.75,"USD",20130627,133200,-99,216.15,"new york","14534","us","false","en-US","CREDITCARD","AMEX","35244","AL","US","M",0,2,"false"
"A1759221229959460",899.94,899.94,"USD",20130730,223718,15,216.201,"idaho","83404","us","false","en-US","CREDITCARD","VISA","83440","ID","US","M",0,1,"false"
"A844427932771812",139.99,139.99,"USD",20130825,11800,18,75.107,"colorado","80112","us","false","en-US","CREDITCARD","VISA","95215","CA","US","M",1,0,"false"
"A985156546788165",432.99,432.99,"USD",20130611,163831,10,96.226,"texas","75219","us","false","en-US","PAYPAL","U","NA","NA","US","N",1,0,"false"
"A985155979363292",41.34,41.34,"USD",20130406,174712,9,76.178,"idaho","83814","us","false","en-US","CREDITCARD","VISA","83815","ID","US","M",0,1,"false"
"A844427812254860",541.24,541.24,"USD",20130616,35259,21,70.251,"texas","75081","us","false","en-US","CREDITCARD","VISA","75229","TX","US","M",0,1,"false"
"A844427589267017",86.59,86.59,"USD",20130708,154217,9,108.204,"texas","75081","us","false","en-US","CREDITCARD","VISA","75702","TX","US","M",1,0,"false"
"A1055521455700470",213.49,213.49,"USD",20130724,70736,2,174.33,"maryland","20876","us","false","en-US","CREDITCARD","DISCOVER","27021","NC","US","M",1,1,"false"
"A914800996698175",42.39,42.39,"USD",20130518,221434,17,155.193,"pennsylvania","15230","us","false","en-US","CREDITCARD","MC","52761","IA","US","M",0,1,"false"
"A1055521409293440",124.433956,124.95,"CAD",20130603,171827,12,209.222,"ontario","m3h 6a7","ca","false","en-CA","CREDITCARD","MC","T7X 3V4","AB","CA","M",1,0,"false"
"A914800964796528",85.59,85.59,"USD",20130826,204615,15,96.1,"north carolina","28305","us","false","en-US","CREDITCARD","VISA","28303","NC","US","M",1,0,"false"
"A914800337532401",151.33,151.33,"USD",20130627,220738,15,72.211,"arizona","85701","us","false","en-US","CREDITCARD","VISA","85730","AZ","US","M",1,0,"false"
"A985156169166574",105.44,105.44,"USD",20130404,120517,-99,66.77,"ohio","44663","us","false","en-US","CREDITCARD","MC","44663","OH","US","M",1,6,"false"
"A844427105594445",5.46,5.46,"USD",20130522,25622,18,24.86,"british columbia","v6v 1a1","ca","false","en-US","PAYPAL","U","NA","NA","CA","N",1,0,"false"
"A914801074205899",152.59,152.59,"USD",20130717,201124,14,68.157,"louisiana","70116","us","false","en-US","CREDITCARD","VISA","70114","LA","US","M",1,0,"false"
"A844427944176035",232.09,232.09,"USD",20130501,131612,7,71.87,"wisconsin","54481","us","false","en-US","CREDITCARD","VISA","54481","WI","US","M",1,0,"false"
"A1055521479263790",539.99,539.99,"USD",20130814,107,18,64.189,"texas","76019","us","false","en-US","CREDITCARD","VISA","76013","TX","US","M",0,1,"false"
"A914801009387388",187.8833,1199,"SEK",20130427,165821,17,46.194,"stockholms lan","11858","se","true","sv-SE","CREDITCARD","VISA","43952","NA","SE","M",1,0,"false"
"A1899945390095120",4.99,4.99,"USD",20130527,105211,10,31.52,"birmingham","b1","gb","false","en-US","PAYPAL","U","NA","NA","GB","N",1,0,"false"
"A914801123615054",149.79,149.79,"USD",20130905,191337,14,199.8,"indiana","46012","us","false","en-US","CREDITCARD","VISA","47933","IN","US","M",1,0,"false"
"A1055521479445750",99.99,99.99,"USD",20130815,31229,22,216.15,"new york","14534","us","false","en-US","CREDITCARD","VISA","90029","CA","US","M",1,0,"false"
"A985157036140455",94.478251,59.99,"GBP",20130625,192431,19,90.21,"greater london","e8","gb","false","en-GB","CREDITCARD","MC","OX15 0QN","NA","GB","M",1,0,"false"
"A844427888509508",139.99,139.99,"USD",20130614,172834,9,75.4,"california","92604","us","false","en-US","PAYPAL","U","NA","NA","US","N",1,0,"false"
"A844427729605007",219.99,219.99,"USD",20130430,141243,9,70.6,"south carolina","29204","us","false","en-US","CREDITCARD","VISA","29550","SC","US","M",1,0,"false"
"A1759220967326230",4.99,4.99,"USD",20130526,4335,1,93.228,"bayern","80331","de","false","en-US","PAYPAL","U","NA","NA","DE","N",1,0,"false"
"A985157024885368",239.79,239.79,"USD",20130610,203459,14,70.183,"louisiana","70116","us","false","en-US","CREDITCARD","VISA","70119","LA","US","M",1,0,"false"
"A844428010691158",52.99,52.99,"USD",20130508,195106,14,98.209,"michigan","48433","us","false","en-US","CREDITCARD","MC","48507","MI","US","M",1,0,"false"
"A1055521475545550",139.99,139.99,"USD",20130818,125012,7,192.149,"vermont","5663","us","false","en-US","CREDITCARD","VISA","3036","NH","US","M",1,0,"false"
"A1688853049574540",103.48965,99,"AUD",20130813,103620,18,139.23,"western australia","6000","au","false","en-AU","PAYPAL","U","NA","NA","AU","N",1,0,"false"
"A844427831168201",109.24,109.24,"USD",20130711,45007,23,76.114,"tennessee","37921","us","false","en-US","CREDITCARD","AMEX","37912","TN","US","M",1,0,"false"
"A914800261052043",579.527044,429.98,"EUR",20130627,124439,-99,217.124,"madrid","28001","es","false","ro-RO","CREDITCARD","MC","555300","Sibiu","RO","M",0,3,"false"
"A844428157887576",106.4762,79,"EUR",20130929,124317,13,188.98,"hessen","60311","de","false","de-DE","CREDITCARD","VISA","70599","NA","DE","M",1,0,"false"
"A914800669363177",1465.14,1465.14,"USD",20130528,182921,13,76.189,"ohio","44035","us","false","en-US","CREDITCARD","MC","44001-2065","OH","US","M",1,5,"false"
"A844427374593915",955.29,955.29,"USD",20130926,60838,0,216.171,"illinois","61801","us","false","en-US","CREDITCARD","VISA","61801","IL","US","M",0,1,"false"
"A1688853452555450",230.36,230.36,"USD",20130530,194448,9,74.87,"hawaii","96740","us","false","en-US","CREDITCARD","MC","96789","HI","US","M",1,0,"false"
"A914800819837846",148.39,148.39,"USD",20130926,232548,18,76.11,"kentucky","40906","us","false","en-US","CREDITCARD","VISA","42431","KY","US","M",1,0,"false"
"A914800422811816",120.10945,239,"BRL",20130425,4055,21,179.234,"sao paulo","14010-000","br","false","pt-BR","CREDITCARD","VISA","15010-100","SP","BR","M",1,0,"false"
"A985156954408148",318.74,318.74,"USD",20130418,155121,10,209.117,"massachusetts","2139","us","false","en-US","CREDITCARD","VISA","2180","MA","US","M",1,0,"false"
"A914800397554644",126.28833,699,"DKK",20130521,203008,21,80.71,"hovedstaden","1787","dk","false","da-DK","CREDITCARD","VISA","2200","NA","DK","M",2,0,"false"
"A1055521165943980",128.09,128.09,"USD",20130527,150616,10,184.56,"ohio","44240","us","false","en-US","PAYPAL","U","NA","NA","US","N",1,0,"false"
"A914801003080377",149.79,149.79,"USD",20130417,21251,21,74.105,"new jersey","7103","us","false","en-US","PAYPAL","U","NA","NA","US","N",1,0,"false"
"A985157021081545",151.54,151.54,"USD",20130605,2127,18,98.194,"texas","77531","us","false","en-US","CREDITCARD","VISA","77566","TX","US","M",1,0,"false"
"A1759221040511630",94.478251,59.99,"GBP",20130603,143034,14,193.62,"cheshire west and chester","0","gb","false","en-GB","CREDITCARD","VISA","l39 4qp","NA","GB","M",1,0,"false"
"A985156987860720",108.24,108.24,"USD",20130412,91535,3,66.9,"texas","78666","us","false","en-US","CREDITCARD","MC","78676","TX","US","M",1,0,"false"
"A1688853084083210",161.99,161.99,"USD",20130613,15408,20,108.213,"south carolina","29204","us","false","en-US","CREDITCARD","VISA","29205","SC","US","M",0,1,"false"
"A914800124552511",1580.32,1580.32,"USD",20130910,22100,19,68.98,"arizona","85013","us","false","en-US","CREDITCARD","MC","85308","AZ","US","M",0,4,"false"
"A1899945620084420",84.09,84.09,"USD",20130906,4816,17,67,"new mexico","87106","us","false","en-US","CREDITCARD","VISA","NA","NA","NA","M",1,0,"false"
"A844427131992646",149.79,149.79,"USD",20130419,5253,18,12.13,"illinois","60143","us","true","en-US","CREDITCARD","AMEX","8057","NJ","US","M",1,0,"false"
"A1055521421007950",139.99,139.99,"USD",20130821,31153,20,184.96,"colorado","80126","us","false","en-US","CREDITCARD","VISA","80127","CO","US","M",1,0,"false"
"A844427588923790",5.34,5.34,"USD",20130528,124019,7,131.128,"rhode island","2881","us","false","en-US","CREDITCARD","MC","2822","RI","US","M",1,0,"false"
"A914800556707444",109.99,109.99,"USD",20130911,31643,20,67.176,"colorado","80129","us","false","en-US","CREDITCARD","AMEX","80161","CO","US","M",1,0,"false"
"A985157024636150",79.99,79.99,"USD",20130610,142319,9,98.204,"district of columbia","20026","us","false","en-US","PAYPAL","U","NA","NA","US","N",1,0,"false"
"A1759221161852300",24.99,24.99,"USD",20130518,31910,19,76.105,"oregon","97060","us","false","en-US","CREDITCARD","VISA","97230","OR","US","M",1,0,"false"
"A914800397183107",5.4,5.4,"USD",20130525,221911,16,108.193,"texas","78703","us","false","en-US","CREDITCARD","MC","78746","TX","US","M",1,0,"false"
"A1055521253276480",127.19,127.19,"USD",20130812,154259,10,70.44,"pennsylvania","18066","us","false","en-US","CREDITCARD","VISA","19530","PA","US","M",1,0,"false"
"A1055520881042320",109.99,109.99,"USD",20130601,132351,5,173.228,"california","94019","us","false","en-US","CREDITCARD","VISA","94019","CA","US","M",1,0,"false"
"A985156866666440",109.99,109.99,"USD",20130731,191508,14,97.1,"florida","32812","us","false","en-US","CREDITCARD","VISA","32819","FL","US","M",1,0,"false"
"A985156931943291",107.17,107.17,"USD",20130501,203413,-99,12.165,"michigan","48154","us","true","en-US","CREDITCARD","AMEX","78739","TX","US","M",1,1,"false"
"A914801012273042",110.227251,69.99,"GBP",20130430,171504,17,86.149,"greater london","e18","gb","false","en-GB","CREDITCARD","VISA","CT12 6JT","NA","GB","M",1,0,"false"
"A844427721434311",642.35,642.35,"USD",20130710,154412,10,207.38,"new york","10020","us","false","en-US","CREDITCARD","AMEX","10022","NY","US","M",1,0,"false"
"A844428165583977",84.99,84.99,"USD",20130925,35244,21,75.57,"illinois","60126","us","false","en-US","CREDITCARD","MC","60014","IL","US","M",1,1,"false"
"A1055520744663400",249.98,249.98,"USD",20130402,195610,14,208.168,"george town","0","ky","false","en-KY","CREDITCARD","VISA","0","NA","KY","M",2,0,"false"
"A1055520985605450",541.24,541.24,"USD",20130706,225749,16,70.196,"texas","77007","us","true","en-US","CREDITCARD","MC","77384","TX","US","M",0,1,"false"
"A1055520623495060",4.99,4.99,"USD",20130525,160000,11,68.158,"georgia","30309","us","false","en-US","PAYPAL","U","NA","NA","US","N",1,0,"false"
"A1688853625147130",1.531108,1.89,"SGD",20130810,90342,1,131.107,"washington","98052","us","false","en-SG","CREDITCARD","VISA","258508","NA","SG","N",1,0,"false"
"A1055521050898020",233.19,233.19,"USD",20130426,173723,12,71.166,"district of columbia","20026","us","false","en-US","CREDITCARD","AMEX","20001","DC","US","M",1,0,"false"
"A985156969281601",683.7,683.7,"USD",20130911,140757,9,66.7,"pennsylvania","19341","us","false","en-US","CREDITCARD","VISA","68506","NE","US","M",0,4,"false"
"A914800936122866",127.19,127.19,"USD",20130915,152148,10,216.15,"new york","14534","us","false","en-US","CREDITCARD","MC","48375","MI","US","M",1,0,"false"
"A985156732269521",117.69,117.69,"USD",20130909,24447,21,68.55,"district of columbia","20026","us","false","en-US","CREDITCARD","VISA","7960","NJ","US","M",1,0,"false"
"A1759222266057330",16.820244,16.89,"CAD",20130702,180622,-99,201.247,"san salvador","1702","sv","false","en-CA","CREDITCARD","VISA","M5V1S5","ON","CA","M",1,1,"false"
"A914800458581780",69,75000,"KRW",20130413,21651,11,112.186,"gyeonggi-do","461","kr","false","ko-KR","CREDITCARD","MC","442-470","??? ???","KR","M",1,0,"false"
"A1055521512859810",145.59,145.59,"USD",20130920,160926,11,67.143,"maryland","20876","us","false","en-US","CREDITCARD","DISCOVER","71403","LA","US","M",1,0,"false"
"A362909401163760",318.74,318.74,"USD",20130501,142618,8,50.77,"illinois","60712","us","false","en-US","CREDITCARD","VISA","60657","IL","US","M",1,0,"false"
"A844428132054233",84.99,84.99,"USD",20130812,10537,19,98.212,"illinois","61104","us","false","en-US","CREDITCARD","VISA","61114","IL","US","M",1,0,"false"
"A1055521507491330",103.48965,99,"AUD",20130914,121556,20,120.145,"western australia","6000","au","false","en-AU","CREDITCARD","VISA","6018","Western Australia","AU","M",1,0,"false"
"A1055521399942850",84.79,84.79,"USD",20130513,193853,14,76.99,"pennsylvania","19090","us","false","en-US","CREDITCARD","VISA","19038","PA","US","M",1,0,"false"
"A844428033586916",149.79,149.79,"USD",20130908,181436,13,99.8,"indiana","46282","us","false","en-US","CREDITCARD","MC","46227","IN","US","M",1,0,"false"
"A985156999945412",219.99,219.99,"USD",20130613,193553,14,108.216,"florida","33144","us","false","en-US","CREDITCARD","VISA","33040","FL","US","M",1,0,"false"
"A1829581989812440",107.95365,129,"NZD",20130914,232728,11,118.93,"canterbury","8001","nz","false","en-NZ","CREDITCARD","VISA","9401","NA","NZ","M",1,0,"false"
